rgb_max_conf,ir_max_conf,rgb_best_log_bbox_area,ir_best_log_bbox_area,rgb_best_aspect_ratio,ir_best_aspect_ratio,rgb_best_pos_y,ir_best_pos_y,rgb_best_local_contrast,ir_best_local_contrast,rgb_img_mean,ir_img_mean,rgb_img_std,trust_label,stem,source
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.368,252.368,25.572,0,yt_Z8HJNypu_1Y_f000003,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.368,252.368,25.572,0,yt_Z8HJNypu_1Y_f000006,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.368,252.368,25.572,0,yt_Z8HJNypu_1Y_f000009,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.368,252.368,25.572,0,yt_Z8HJNypu_1Y_f000012,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.368,252.368,25.572,0,yt_Z8HJNypu_1Y_f000015,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.368,252.368,25.572,0,yt_Z8HJNypu_1Y_f000018,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.368,252.368,25.572,0,yt_Z8HJNypu_1Y_f000021,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.564,250.564,32.788,0,yt_Z8HJNypu_1Y_f000024,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.564,250.564,32.788,0,yt_Z8HJNypu_1Y_f000027,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.564,250.564,32.788,0,yt_Z8HJNypu_1Y_f000030,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.564,250.564,32.788,0,yt_Z8HJNypu_1Y_f000033,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.564,250.564,32.788,0,yt_Z8HJNypu_1Y_f000036,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.564,250.564,32.788,0,yt_Z8HJNypu_1Y_f000039,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.564,250.564,32.788,0,yt_Z8HJNypu_1Y_f000042,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.564,250.564,32.788,0,yt_Z8HJNypu_1Y_f000045,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.7,253.7,17.857,0,yt_Z8HJNypu_1Y_f000048,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.699,253.699,17.857,0,yt_Z8HJNypu_1Y_f000051,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.7,253.7,17.857,0,yt_Z8HJNypu_1Y_f000054,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.7,253.7,17.857,0,yt_Z8HJNypu_1Y_f000057,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.7,253.7,17.857,0,yt_Z8HJNypu_1Y_f000060,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.7,253.7,17.857,0,yt_Z8HJNypu_1Y_f000063,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.7,253.7,17.857,0,yt_Z8HJNypu_1Y_f000066,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.7,253.7,17.857,0,yt_Z8HJNypu_1Y_f000069,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.347,250.347,33.54,0,yt_Z8HJNypu_1Y_f000072,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.347,250.347,33.539,0,yt_Z8HJNypu_1Y_f000075,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.347,250.347,33.539,0,yt_Z8HJNypu_1Y_f000078,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.347,250.347,33.539,0,yt_Z8HJNypu_1Y_f000081,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.347,250.347,33.539,0,yt_Z8HJNypu_1Y_f000084,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.347,250.347,33.539,0,yt_Z8HJNypu_1Y_f000087,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.347,250.347,33.539,0,yt_Z8HJNypu_1Y_f000090,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.673,243.673,51.581,0,yt_Z8HJNypu_1Y_f000093,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.673,243.673,51.581,0,yt_Z8HJNypu_1Y_f000096,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.673,243.673,51.581,0,yt_Z8HJNypu_1Y_f000099,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.673,243.673,51.581,0,yt_Z8HJNypu_1Y_f000102,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.673,243.673,51.582,0,yt_Z8HJNypu_1Y_f000105,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.673,243.673,51.581,0,yt_Z8HJNypu_1Y_f000108,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.673,243.673,51.581,0,yt_Z8HJNypu_1Y_f000111,confuser_AIRPLANE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.671,243.671,51.602,0,yt_Z8HJNypu_1Y_f000114,confuser_AIRPLANE
