rgb_max_conf,ir_max_conf,rgb_best_log_bbox_area,ir_best_log_bbox_area,rgb_best_aspect_ratio,ir_best_aspect_ratio,rgb_best_pos_y,ir_best_pos_y,rgb_best_local_contrast,ir_best_local_contrast,rgb_img_mean,ir_img_mean,rgb_img_std,rgb_best_pos_x,ir_best_pos_x,rgb_best_dist_to_center,ir_best_dist_to_center,rgb_best_target_bg_delta,ir_best_target_bg_delta,trust_label,stem,source
0.8699682354927063,0.8628530502319336,9.1061,7.4998,1.5925,1.2136,0.4122,0.5017,0.3661,1.4852,131.122,90.458,19.643,0.708,0.7224,0.2258,0.2224,6.339,44.59,3,20190925_124612_1_1_f000263,antiuav
0.8866950869560242,0.6786463856697083,9.0996,7.2341,1.7167,1.3919,0.632,0.6628,0.8281,0.6111,106.278,72.057,18.263,0.5134,0.5183,0.1327,0.1639,17.652,55.479,3,20190925_111757_1_6_f000302,antiuav
0.8854523301124573,0.8535041809082031,9.2011,7.5986,1.6238,1.3077,0.5409,0.6004,0.5466,0.9398,96.329,101.715,13.569,0.5281,0.5093,0.0496,0.1009,4.177,51.397,3,20190925_124612_1_6_f000088,antiuav
0.8449540138244629,0.8409280776977539,9.055,7.3337,3.3602,2.3285,0.5662,0.6577,-1.6799,1.8909,129.174,85.04,16.301,0.5502,0.56,0.083,0.1687,-24.216,75.626,3,20190926_095902_1_9_f000616,antiuav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.379,74.282,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0,20190925_134301_1_6_f000590,antiuav
0.8594738245010376,0.8441798090934753,7.6492,5.7358,1.2907,1.5798,0.4536,0.5153,1.3664,0.7272,5.138,72.578,19.362,0.4246,0.4268,0.0885,0.0748,12.375,24.068,3,20190925_200805_1_3_f000334,antiuav
0.0,0.8212873935699463,0.0,7.0634,0.0,1.5329,0.0,0.6662,0.0,0.1319,79.393,90.365,35.031,0.0,0.293,0.0,0.2655,0.0,2.854,2,20190926_134054_1_1_f000059,antiuav
0.7981240749359131,0.8606770634651184,9.2467,7.3328,1.3905,1.4386,0.3328,0.4034,-0.1948,2.0091,131.449,98.954,12.869,0.5171,0.5267,0.1681,0.1003,-2.026,67.761,3,20190925_124000_1_4_f000338,antiuav
0.0,0.4232305884361267,0.0,7.8757,0.0,3.0262,0.0,0.686,0.0,1.9005,115.91,98.587,18.576,0.0,0.4171,0.0,0.2037,0.0,78.748,2,20190926_095902_1_3_f000491,antiuav
0.8184396624565125,0.8922646045684814,10.1035,8.3415,1.5027,1.4478,0.3744,0.465,-1.0058,0.9344,122.0,88.516,21.751,0.6929,0.7912,0.2302,0.2932,-14.261,39.983,3,20190926_111509_1_3_f000973,antiuav
