surface,modality,context,verifier_pdrone,conf,label
antiuav_ir,ir,thermal-IR (aligned),0.9999138116836548,0.8404150605201721,1
antiuav_ir,ir,thermal-IR (aligned),0.9998925924301147,0.844433069229126,1
antiuav_ir,ir,thermal-IR (aligned),0.9998818635940552,0.8220099210739136,1
antiuav_ir,ir,thermal-IR (aligned),0.9995346069335938,0.8456825613975525,1
antiuav_ir,ir,thermal-IR (aligned),0.9997453093528748,0.8457838892936707,1
antiuav_ir,ir,thermal-IR (aligned),0.9977992177009583,0.8292415142059326,1
antiuav_ir,ir,thermal-IR (aligned),0.9998272061347961,0.8385024070739746,1
antiuav_ir,ir,thermal-IR (aligned),0.9997866749763489,0.8558894991874695,1
antiuav_ir,ir,thermal-IR (aligned),0.9998812675476074,0.837425947189331,1
antiuav_ir,ir,thermal-IR (aligned),0.9995844960212708,0.8590512275695801,1
antiuav_ir,ir,thermal-IR (aligned),0.9999758005142212,0.8491184711456299,1
antiuav_ir,ir,thermal-IR (aligned),0.9994219541549683,0.8368172645568848,1
antiuav_ir,ir,thermal-IR (aligned),0.9992448091506958,0.8922731876373291,1
antiuav_ir,ir,thermal-IR (aligned),0.9998494386672974,0.8414293527603149,1
antiuav_ir,ir,thermal-IR (aligned),0.9997738003730774,0.8536990880966187,1
antiuav_ir,ir,thermal-IR (aligned),0.9992132186889648,0.8593884706497192,1
antiuav_ir,ir,thermal-IR (aligned),0.9964545965194702,0.8664683699607849,1
antiuav_ir,ir,thermal-IR (aligned),0.9708014726638794,0.7124748826026917,1
antiuav_ir,ir,thermal-IR (aligned),0.9947471022605896,0.775521457195282,1
antiuav_ir,ir,thermal-IR (aligned),0.9930069446563721,0.8005653619766235,1
antiuav_ir,ir,thermal-IR (aligned),0.9618029594421387,0.7527193427085876,1
antiuav_ir,ir,thermal-IR (aligned),0.9965806603431702,0.7425475716590881,1
antiuav_ir,ir,thermal-IR (aligned),0.9932367205619812,0.8718599081039429,1
antiuav_ir,ir,thermal-IR (aligned),0.9950607419013977,0.8445757031440735,1
antiuav_ir,ir,thermal-IR (aligned),0.9997115731239319,0.8588923811912537,1
antiuav_ir,ir,thermal-IR (aligned),0.9971747398376465,0.765703558921814,1
antiuav_ir,ir,thermal-IR (aligned),0.9976233839988708,0.8689864873886108,1
antiuav_ir,ir,thermal-IR (aligned),0.9951432943344116,0.869564950466156,1
antiuav_ir,ir,thermal-IR (aligned),0.99875807762146,0.8670006990432739,1
antiuav_ir,ir,thermal-IR (aligned),0.9974552989006042,0.866797149181366,1
antiuav_ir,ir,thermal-IR (aligned),0.9975965619087219,0.8850721120834351,1
antiuav_ir,ir,thermal-IR (aligned),0.9942691326141357,0.7815396189689636,1
antiuav_ir,ir,thermal-IR (aligned),0.9989439845085144,0.8823104500770569,1
antiuav_ir,ir,thermal-IR (aligned),0.9835259914398193,0.786666214466095,1
antiuav_ir,ir,thermal-IR (aligned),0.9865080118179321,0.8654618859291077,1
antiuav_ir,ir,thermal-IR (aligned),0.9980705380439758,0.8807052969932556,1
antiuav_ir,ir,thermal-IR (aligned),0.9900282025337219,0.8753910660743713,1
antiuav_ir,ir,thermal-IR (aligned),0.9334056377410889,0.852909505367279,1
antiuav_ir,ir,thermal-IR (aligned),0.9976557493209839,0.8739047050476074,1
antiuav_ir,ir,thermal-IR (aligned),0.9885285496711731,0.8666060566902161,1
antiuav_ir,ir,thermal-IR (aligned),0.9949595928192139,0.856830358505249,1
antiuav_ir,ir,thermal-IR (aligned),0.999936580657959,0.8619890213012695,1
antiuav_ir,ir,thermal-IR (aligned),0.9923574328422546,0.8897923231124878,1
antiuav_ir,ir,thermal-IR (aligned),0.9994474053382874,0.8752577900886536,1
antiuav_ir,ir,thermal-IR (aligned),0.9995712637901306,0.8455055356025696,1
antiuav_ir,ir,thermal-IR (aligned),0.9999455213546753,0.8461071848869324,1
antiuav_ir,ir,thermal-IR (aligned),0.9999938011169434,0.8281511664390564,1
antiuav_ir,ir,thermal-IR (aligned),0.9993584752082825,0.8540186882019043,1
antiuav_ir,ir,thermal-IR (aligned),0.9971133470535278,0.8336303234100342,1
